Exit time,Entry time,Market pos.,Qty,Entry price,Exit price,Profit,Exit reason,Cumulative Profit,Equity Curve
2021-02-17 09:34:00,2021-02-17 09:06:00,Long,2,13771.5,13755.25,-32.5,Stop loss,-32.5,99967.5
2021-07-02 08:52:00,2021-07-02 08:45:00,Short,2,14558.75,14564.25,-11.0,Stop loss,-43.5,99956.5
2023-09-06 09:15:00,2023-09-06 09:10:00,Long,2,15484.0,15467.75,-32.5,Stop loss,-76.0,99924.0
2023-10-31 13:36:00,2023-10-31 09:04:00,Long,2,14407.5,14373.0,-69.0,Stop loss,-145.0,99855.0
2024-01-24 14:30:00,2024-01-24 09:13:00,Long,2,17648.0,17694.25,92.5,Profit target,-52.5,99947.5
