20150906 220500;4184.5;4184.5;4184.5;4184.5;1
20150906 220600;4181;4185.5;4180.75;4185.5;3
20150906 220700;4186;4188.25;4186;4188.25;2
20150906 220900;4198.5;4202;4198.5;4202;5
20150906 221000;4200;4200;4196.5;4196.5;3
20150906 222200;4191.5;4191.5;4191.25;4191.25;2
20150906 222300;4196;4196;4196;4196;2
20150906 222400;4199;4199.25;4199;4199.25;2
20150906 222700;4201;4201;4201;4201;1
20150906 222800;4201;4202;4201;4202;2
20150906 222900;4199.25;4199.25;4199.25;4199.25;1
20150906 223100;4199.25;4199.25;4199.25;4199.25;1
20150906 224900;4201;4201;4201;4201;1
20150906 225000;4201;4201;4200;4200;10
20150906 230700;4198;4198;4198;4198;2
20150906 231500;4197.25;4197.25;4197.25;4197.25;3
20150906 231600;4197.25;4197.25;4197.25;4197.25;6
20150906 232400;4197.25;4197.5;4197.25;4197.5;2
20150906 232700;4198.75;4198.75;4198.5;4198.5;2
20150906 232800;4198;4198;4198;4198;1
20150906 234800;4198;4198;4198;4198;1
20150907 000300;4199.75;4203.25;4199.75;4202.75;6
20150907 000400;4201;4201.25;4200;4200;3
20150907 001100;4200;4200;4200;4200;1
20150907 001300;4201;4201;4201;4201;1
20150907 001400;4199;4199;4199;4199;1
20150907 003000;4191;4191;4191;4191;5
20150907 003200;4189.75;4189.75;4189.75;4189.75;2
20150907 003300;4189.75;4189.75;4189;4189;10
20150907 005200;4191.5;4192;4191.5;4192;3
20150907 005400;4199;4199;4199;4199;2
20150907 005500;4199.5;4199.5;4199.5;4199.5;1
20150907 005900;4200;4200;4200;4200;1
20150907 010100;4202.75;4203.5;4202.75;4203.5;3
20150907 010200;4204.5;4204.5;4204.5;4204.5;2
20150907 010300;4205;4205;4205;4205;1
20150907 010400;4207;4207;4204.5;4204.5;4
20150907 011100;4197.5;4197.5;4197.5;4197.5;1
20150907 011700;4208.75;4208.75;4207.5;4207.5;3
20150907 011800;4209;4210;4209;4210;5
20150907 011900;4211.5;4213.5;4211.5;4213.5;2
20150907 012200;4212.25;4212.25;4212;4212;2
20150907 012400;4211;4211;4211;4211;6
20150907 012700;4209.75;4211.75;4209.75;4211.75;3
20150907 012900;4212.75;4213.75;4212.75;4213.75;3
20150907 013000;4216.25;4217;4216.25;4216.75;5
20150907 013100;4217;4219;4217;4219;2
20150907 013200;4220;4223.5;4220;4221;14
20150907 013400;4221.25;4224.25;4221.25;4224.25;5
20150907 013500;4229;4230;4229;4230;4
20150907 013600;4231.25;4233.5;4231.25;4233.5;6
20150907 013700;4233.5;4233.75;4231.75;4231.75;3
20150907 013800;4232;4232;4232;4232;1
20150907 013900;4232.25;4232.25;4229.25;4231;7
20150907 014000;4231.5;4231.5;4231.5;4231.5;1
20150907 014100;4228.25;4228.25;4226.5;4226.5;2
20150907 014500;4228.25;4228.25;4227.5;4227.5;2
20150907 014700;4226.5;4226.5;4226.5;4226.5;1
20150907 014900;4224.75;4224.75;4224.75;4224.75;1
20150907 015300;4223.25;4223.25;4223.25;4223.25;1
20150907 015400;4222;4222;4222;4222;1
20150907 015800;4222.5;4222.75;4222.5;4222.75;2
20150907 015900;4223;4225;4223;4224.5;19
20150907 020200;4226;4226;4226;4226;1
20150907 020400;4220.75;4220.75;4220.75;4220.75;2
20150907 020500;4220.75;4220.75;4219;4219;3
20150907 021000;4217;4217.75;4216.5;4217.75;6
20150907 021100;4216.75;4216.75;4216.75;4216.75;1
20150907 021300;4219;4219;4219;4219;1
20150907 023500;4220.75;4220.75;4220.75;4220.75;1
20150907 024000;4218.75;4218.75;4218.75;4218.75;1
20150907 024800;4219.25;4219.25;4219.25;4219.25;1
20150907 025600;4220;4220;4220;4220;1
20150907 030300;4223;4223;4222.25;4222.25;2
20150907 031600;4226.75;4226.75;4226.5;4226.5;2
20150907 031800;4229;4230.25;4229;4230.25;5
20150907 031900;4230.5;4231.25;4230.5;4231.25;11
20150907 032000;4233.5;4234.5;4233.5;4234.5;12
20150907 032700;4231.5;4231.5;4231.5;4231.5;1
20150907 032900;4230.75;4230.75;4229.5;4229.75;10
20150907 033700;4227.5;4227.5;4227.5;4227.5;1
20150907 033900;4227.5;4227.5;4227.5;4227.5;1
20150907 035100;4228.5;4228.5;4228.5;4228.5;1
20150907 035200;4229.75;4229.75;4229.75;4229.75;1
20150907 040600;4228.5;4228.5;4228.5;4228.5;1
20150907 041200;4228.5;4228.5;4228.5;4228.5;1
20150907 041300;4229.5;4229.5;4229.5;4229.5;1
20150907 041500;4228.75;4228.75;4226.75;4226.75;6
20150907 041700;4224;4224;4224;4224;1
20150907 042700;4224.25;4224.25;4224.25;4224.25;1
20150907 050400;4220;4220;4220;4220;5
20150907 052200;4219.25;4219.25;4219.25;4219.25;1
20150907 052400;4219;4219;4219;4219;1
20150907 053200;4212.75;4212.75;4212.75;4212.75;15
20150907 055100;4210;4210;4210;4210;2
20150907 060700;4219.25;4220;4219.25;4220;3
20150907 060900;4221.25;4221.25;4221.25;4221.25;1
20150907 062500;4225;4225;4225;4225;1
20150907 062600;4227.75;4227.75;4227.75;4227.75;1
20150907 062700;4225.75;4225.75;4225;4225;30
20150907 062800;4224.5;4226.5;4224.5;4226.5;2
20150907 063700;4227.25;4227.25;4227.25;4227.25;2
20150907 070300;4227.75;4227.75;4227.75;4227.75;3
20150907 070500;4229;4229;4229;4229;1
20150907 071200;4226;4226;4225;4225.25;13
20150907 074100;4219;4219;4219;4219;1
20150907 074300;4220;4220;4220;4220;1
20150907 074900;4219.75;4219.75;4219.75;4219.75;1
