20170305 145700;5375;5375;5375;5375;1
20170305 230100;5372.5;5380;5372.5;5380;4
20170305 230400;5365;5365;5365;5365;1
20170305 230500;5363.5;5365;5363.5;5365;2
20170305 231400;5362.5;5362.5;5362.5;5362.5;1
20170305 231500;5362.75;5362.75;5362.75;5362.75;1
20170305 231600;5362.5;5362.5;5361.5;5361.5;3
20170305 231700;5360.25;5360.25;5360.25;5360.25;2
20170305 232200;5360.75;5360.75;5360.75;5360.75;1
20170305 232300;5360;5360;5360;5360;1
20170305 232600;5359.5;5359.5;5359.5;5359.5;1
20170305 233000;5359.25;5359.25;5359.25;5359.25;1
20170305 233200;5361.5;5362.25;5361.5;5362;7
20170305 233300;5361;5361;5361;5361;1
20170305 233600;5359.75;5359.75;5359.75;5359.75;4
20170305 234100;5358.75;5358.75;5357.25;5357.25;8
20170305 234400;5358;5358;5357.75;5357.75;3
20170305 234600;5357.25;5357.25;5357.25;5357.25;1
20170305 234800;5357;5357.25;5356.25;5356.25;4
20170305 235400;5354.5;5354.5;5352.75;5354;14
20170305 235600;5351;5351.75;5351;5351.75;3
20170305 235700;5353;5353;5352.75;5352.75;4
20170305 235800;5353;5353;5353;5353;1
20170306 000300;5352.25;5352.25;5352.25;5352.25;1
20170306 000600;5352;5352;5352;5352;1
20170306 002000;5355;5355;5355;5355;5
20170306 002800;5355;5355;5355;5355;1
20170306 003400;5357;5357;5357;5357;2
20170306 003700;5356.75;5356.75;5356.75;5356.75;1
20170306 004000;5358;5358;5358;5358;1
20170306 004100;5358.75;5358.75;5358;5358;4
20170306 004400;5358;5358;5358;5358;1
20170306 004600;5358.75;5359.25;5358.75;5359.25;5
20170306 004800;5357.75;5357.75;5357.75;5357.75;1
20170306 011200;5359.5;5359.5;5359.5;5359.5;1
20170306 011600;5358.75;5358.75;5358.75;5358.75;1
20170306 012900;5360;5360;5360;5360;1
20170306 013400;5361;5361;5361;5361;1
20170306 013700;5360.75;5360.75;5360.75;5360.75;3
20170306 013800;5360.75;5361.25;5360.75;5361.25;4
20170306 013900;5361;5361;5361;5361;2
20170306 014500;5362;5362;5362;5362;1
20170306 014700;5361.5;5361.5;5361.5;5361.5;1
20170306 015200;5360.5;5360.5;5360.5;5360.5;1
20170306 015300;5360;5360;5360;5360;1
20170306 015600;5360.5;5360.5;5360.5;5360.5;1
20170306 015800;5360;5360;5359.25;5359.5;5
20170306 015900;5359.5;5359.5;5359.5;5359.5;1
20170306 020200;5359.25;5359.25;5359;5359;4
20170306 020700;5359.5;5359.5;5359.5;5359.5;1
20170306 023300;5359.75;5359.75;5359.75;5359.75;1
20170306 030400;5359.75;5359.75;5359.75;5359.75;1
20170306 033700;5358.75;5358.75;5357.75;5357.75;2
20170306 040800;5358.75;5358.75;5358.75;5358.75;1
20170306 041200;5358.75;5358.75;5358.75;5358.75;4
20170306 043300;5358;5358;5358;5358;1
20170306 053400;5360.25;5361;5360.25;5361;6
20170306 054000;5362.25;5362.25;5362.25;5362.25;1
20170306 054200;5362;5362;5362;5362;1
20170306 063200;5361;5361;5361;5361;1
20170306 065400;5361.25;5361.25;5361.25;5361.25;1
20170306 070200;5361;5361;5361;5361;1
20170306 072700;5360.25;5360.25;5360.25;5360.25;1
20170306 073100;5360.5;5360.5;5360.5;5360.5;1
20170306 075300;5359.25;5359.25;5359;5359;97
20170306 075700;5358.25;5358.25;5358.25;5358.25;1
20170306 080100;5357.25;5357.25;5357.25;5357.25;1
20170306 080300;5356.5;5356.5;5354.75;5355.25;165
20170306 080400;5355;5355;5355;5355;1
20170306 080700;5353.75;5353.75;5353.75;5353.75;1
20170306 080800;5352.25;5352.25;5352.25;5352.25;1
20170306 080900;5352.75;5352.75;5352.75;5352.75;1
20170306 081400;5353.5;5353.5;5353.5;5353.5;1
20170306 081700;5352.75;5352.75;5352.75;5352.75;1
20170306 081800;5353;5353;5353;5353;2
20170306 081900;5352;5352;5352;5352;1
20170306 083000;5352;5352;5352;5352;1
20170306 083100;5351;5351;5351;5351;1
20170306 083200;5350;5350;5350;5350;3
20170306 083300;5349.75;5349.75;5349.5;5349.5;2
20170306 083400;5350.25;5350.25;5349.75;5349.75;2
20170306 083600;5350.5;5350.5;5350.5;5350.5;1
20170306 083800;5350;5350;5350;5350;1
20170306 083900;5351;5351.25;5351;5351.25;3
20170306 084200;5352;5352.25;5352;5352.25;2
20170306 085400;5352.5;5352.5;5352.5;5352.5;1
20170306 085500;5353;5353;5353;5353;1
20170306 091100;5353;5353;5352.75;5352.75;3
20170306 091400;5353.5;5353.5;5353.5;5353.5;1
20170306 091700;5354.5;5354.5;5354.5;5354.5;1
20170306 091800;5354.5;5354.5;5354.5;5354.5;1
20170306 091900;5354.5;5354.5;5354.5;5354.5;14
20170306 093500;5360.5;5360.5;5360.5;5360.5;5
20170306 094000;5359.75;5360;5359.75;5360;7
20170306 094100;5359.5;5359.5;5359.5;5359.5;1
20170306 094600;5361;5361;5361;5361;6
20170306 094800;5361.75;5362.5;5361.75;5362.5;3
20170306 094900;5362.75;5364.25;5362.75;5364;6
20170306 095100;5364.25;5364.25;5364.25;5364.25;1
20170306 095500;5363.5;5363.5;5363.5;5363.5;1
20170306 095700;5364;5364;5364;5364;1
20170306 100100;5365.25;5365.25;5365.25;5365.25;1
20170306 100300;5365.5;5365.5;5365.5;5365.5;1
20170306 100400;5365.5;5365.5;5365.5;5365.5;1
20170306 100700;5365.25;5365.25;5365.25;5365.25;1
20170306 101700;5362.75;5363;5362.75;5363;79
20170306 102300;5364.75;5364.75;5364.5;5364.5;2
20170306 102400;5363.5;5363.5;5363.5;5363.5;1
20170306 102500;5364.25;5364.25;5364.25;5364.25;1
20170306 102800;5364.75;5364.75;5364.75;5364.75;1
20170306 102900;5364.75;5365;5364.75;5365;9
20170306 103100;5366;5366.5;5366;5366.5;3
20170306 110800;5364.5;5364.75;5364.5;5364.75;3
20170306 111200;5365.25;5365.25;5365.25;5365.25;1
20170306 114300;5366;5366;5366;5366;1
20170306 115000;5366;5366;5366;5366;1
20170306 115300;5367.25;5367.5;5367.25;5367.5;2
20170306 120900;5366.25;5366.5;5366.25;5366.5;2
20170306 122800;5364.75;5364.75;5364.75;5364.75;1
20170306 123200;5366.75;5367;5366.5;5366.5;11
20170306 123900;5366.25;5366.25;5366.25;5366.25;4
20170306 124000;5365.5;5365.5;5365.5;5365.5;3
20170306 124200;5364.75;5364.75;5364.75;5364.75;3
20170306 124300;5364.75;5364.75;5363.75;5364;4
20170306 130700;5363.25;5363.25;5363.25;5363.25;2
20170306 131700;5364.75;5364.75;5364.75;5364.75;2
20170306 131900;5363.5;5363.5;5363.5;5363.5;1
20170306 132500;5361;5361;5360.75;5360.75;3
20170306 132700;5360.25;5360.25;5360.25;5360.25;1
20170306 134200;5360.5;5360.5;5360.25;5360.25;2
