Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
483,NQ JUN25,Backtest,Orb,Short,1,7912.25,7914.25,4/28/2017 9:08:00 AM,4/28/2017 4:00:00 PM,ORB_Short,Exit on session close,($40.00),$4660.00,$0.00,$135.00,$145.00,$185.00,398,
484,NQ JUN25,Backtest,Orb,Long,1,7938.75,7959.25,5/1/2017 9:02:00 AM,5/1/2017 12:27:00 PM,ORB_Long,Profit target,$410.00,$5070.00,$0.00,$105.00,$410.00,$0.00,206,
485,NQ JUN25,Backtest,Orb,Short,1,7962.75,7972.25,5/2/2017 8:47:00 AM,5/2/2017 11:04:00 AM,ORB_Short,Stop loss,($190.00),$4880.00,$0.00,$190.00,$140.00,$330.00,138,
486,NQ JUN25,Backtest,Orb,Short,1,7951.00,7943.50,5/3/2017 9:04:00 AM,5/3/2017 4:00:00 PM,ORB_Short,Exit on session close,$150.00,$5030.00,$0.00,$200.00,$235.00,$85.00,402,
487,NQ JUN25,Backtest,Orb,Long,1,7957.50,7952.50,5/4/2017 9:29:00 AM,5/4/2017 9:55:00 AM,ORB_Long,Stop loss,($100.00),$4930.00,$0.00,$100.00,$15.00,$115.00,27,
488,NQ JUN25,Backtest,Orb,Short,1,7960.00,7972.00,5/5/2017 8:49:00 AM,5/5/2017 2:51:00 PM,ORB_Short,Stop loss,($240.00),$4690.00,$0.00,$240.00,$210.00,$450.00,363,
489,NQ JUN25,Backtest,Orb,Long,1,8015.25,8013.75,5/9/2017 9:02:00 AM,5/9/2017 4:00:00 PM,ORB_Long,Exit on session close,($30.00),$4660.00,$0.00,$365.00,$115.00,$145.00,404,
490,NQ JUN25,Backtest,Orb,Short,1,7996.00,8012.00,5/10/2017 9:02:00 AM,5/10/2017 2:10:00 PM,ORB_Short,Stop loss,($320.00),$4340.00,$0.00,$320.00,$90.00,$410.00,309,
491,NQ JUN25,Backtest,Orb,Short,1,7989.50,7970.00,5/11/2017 8:48:00 AM,5/11/2017 9:32:00 AM,ORB_Short,Profit target,$390.00,$4730.00,$0.00,$45.00,$390.00,$0.00,45,
492,NQ JUN25,Backtest,Orb,Long,1,8014.00,8006.75,5/12/2017 9:23:00 AM,5/12/2017 9:28:00 AM,ORB_Long,Stop loss,($145.00),$4585.00,$0.00,$145.00,$40.00,$185.00,6,
493,NQ JUN25,Backtest,Orb,Long,1,8026.50,8038.00,5/15/2017 9:12:00 AM,5/15/2017 4:00:00 PM,ORB_Long,Exit on session close,$230.00,$4815.00,$0.00,$70.00,$265.00,$35.00,394,
494,NQ JUN25,Backtest,Orb,Long,1,8051.00,8046.75,5/16/2017 8:56:00 AM,5/16/2017 9:22:00 AM,ORB_Long,Stop loss,($85.00),$4730.00,$0.00,$85.00,$30.00,$115.00,27,
495,NQ JUN25,Backtest,Orb,Long,1,8022.00,8008.75,5/17/2017 8:46:00 AM,5/17/2017 8:55:00 AM,ORB_Long,Stop loss,($265.00),$4465.00,$0.00,$265.00,$40.00,$305.00,10,
496,NQ JUN25,Backtest,Orb,Long,1,7939.00,7966.25,5/18/2017 8:48:00 AM,5/18/2017 4:00:00 PM,ORB_Long,Exit on session close,$545.00,$5010.00,$0.00,$225.00,$855.00,$310.00,419,
497,NQ JUN25,Backtest,Orb,Long,1,7999.25,7988.50,5/19/2017 8:53:00 AM,5/19/2017 4:00:00 PM,ORB_Long,Exit on session close,($215.00),$4795.00,$0.00,$325.00,$210.00,$425.00,413,
498,NQ JUN25,Backtest,Orb,Long,1,8018.75,8036.25,5/22/2017 9:03:00 AM,5/22/2017 4:00:00 PM,ORB_Long,Exit on session close,$350.00,$5145.00,$0.00,$125.00,$375.00,$25.00,403,
499,NQ JUN25,Backtest,Orb,Long,1,8091.50,8106.50,5/25/2017 9:13:00 AM,5/25/2017 10:10:00 AM,ORB_Long,Profit target,$300.00,$5445.00,$0.00,$5.00,$300.00,$0.00,58,
500,NQ JUN25,Backtest,Orb,Long,1,8123.00,8128.75,5/26/2017 9:06:00 AM,5/26/2017 4:00:00 PM,ORB_Long,Exit on session close,$115.00,$5560.00,$0.00,$185.00,$135.00,$20.00,400,
501,NQ JUN25,Backtest,Orb,Short,1,8132.75,8125.50,5/29/2017 8:52:00 AM,5/29/2017 10:10:00 AM,ORB_Short,Profit target,$145.00,$5705.00,$0.00,$0.00,$145.00,$0.00,79,
502,NQ JUN25,Backtest,Orb,Long,1,8129.75,8127.25,5/30/2017 9:09:00 AM,5/30/2017 4:00:00 PM,ORB_Long,Exit on session close,($50.00),$5655.00,$0.00,$105.00,$125.00,$175.00,397,
503,NQ JUN25,Backtest,Orb,Short,1,8140.50,8106.00,5/31/2017 8:48:00 AM,5/31/2017 9:01:00 AM,ORB_Short,Profit target,$690.00,$6345.00,$0.00,$30.00,$690.00,$0.00,14,
504,NQ JUN25,Backtest,Orb,Short,1,8133.50,8115.25,6/1/2017 9:03:00 AM,6/1/2017 9:18:00 AM,ORB_Short,Profit target,$365.00,$6710.00,$0.00,$50.00,$365.00,$0.00,16,
505,NQ JUN25,Backtest,Orb,Long,1,8177.00,8204.50,6/2/2017 9:15:00 AM,6/2/2017 12:30:00 PM,ORB_Long,Profit target,$550.00,$7260.00,$0.00,$45.00,$550.00,$0.00,196,
506,NQ JUN25,Backtest,Orb,Long,1,8219.50,8212.50,6/5/2017 9:31:00 AM,6/5/2017 10:00:00 AM,ORB_Long,Stop loss,($140.00),$7120.00,$0.00,$140.00,$100.00,$240.00,30,
507,NQ JUN25,Backtest,Orb,Long,1,8213.00,8203.25,6/6/2017 9:04:00 AM,6/6/2017 2:24:00 PM,ORB_Long,Stop loss,($195.00),$6925.00,$0.00,$195.00,$270.00,$465.00,321,
508,NQ JUN25,Backtest,Orb,Short,1,8200.50,8207.75,6/7/2017 8:53:00 AM,6/7/2017 8:57:00 AM,ORB_Short,Stop loss,($145.00),$6780.00,$0.00,$145.00,$5.00,$150.00,5,
509,NQ JUN25,Backtest,Orb,Short,1,8202.25,8223.75,6/8/2017 8:49:00 AM,6/8/2017 4:00:00 PM,ORB_Short,Exit on session close,($430.00),$6350.00,$0.00,$450.00,$330.00,$760.00,410,
510,NQ JUN25,Backtest,Orb,Long,1,8227.25,8221.75,6/9/2017 9:11:00 AM,6/9/2017 9:53:00 AM,ORB_Long,Stop loss,($110.00),$6240.00,$0.00,$110.00,$95.00,$205.00,43,
511,NQ JUN25,Backtest,Orb,Short,1,8087.00,8011.75,6/14/2017 9:16:00 AM,6/14/2017 2:15:00 PM,ORB_Short,Profit target,$1505.00,$7745.00,$0.00,$350.00,$1505.00,$0.00,300,
512,NQ JUN25,Backtest,Orb,Short,1,7985.25,8010.50,6/15/2017 8:46:00 AM,6/15/2017 10:33:00 AM,ORB_Short,Stop loss,($505.00),$7240.00,$0.00,$505.00,$390.00,$895.00,108,
513,NQ JUN25,Backtest,Orb,Short,1,8006.25,8016.25,6/16/2017 8:46:00 AM,6/16/2017 4:00:00 PM,ORB_Short,Exit on session close,($200.00),$7040.00,$0.00,$395.00,$415.00,$615.00,421,
514,NQ JUN25,Backtest,Orb,Long,1,8083.75,8094.50,6/19/2017 9:04:00 AM,6/19/2017 4:00:00 PM,ORB_Long,Exit on session close,$215.00,$7255.00,$0.00,$15.00,$465.00,$250.00,402,
515,NQ JUN25,Backtest,Orb,Short,1,8080.50,8097.75,6/20/2017 9:02:00 AM,6/20/2017 9:45:00 AM,ORB_Short,Stop loss,($345.00),$6910.00,$0.00,$345.00,$80.00,$425.00,44,
516,NQ JUN25,Backtest,Orb,Long,1,8081.50,8120.25,6/21/2017 9:10:00 AM,6/21/2017 4:00:00 PM,ORB_Long,Exit on session close,$775.00,$7685.00,$0.00,$165.00,$790.00,$15.00,396,
517,NQ JUN25,Backtest,Orb,Short,1,8098.50,8122.25,6/22/2017 9:02:00 AM,6/22/2017 11:47:00 AM,ORB_Short,Stop loss,($475.00),$7210.00,$0.00,$475.00,$65.00,$540.00,166,
518,NQ JUN25,Backtest,Orb,Short,1,8087.75,8110.00,6/23/2017 8:47:00 AM,6/23/2017 9:31:00 AM,ORB_Short,Stop loss,($445.00),$6765.00,$0.00,$445.00,$5.00,$450.00,45,
519,NQ JUN25,Backtest,Orb,Short,1,8163.00,8149.50,6/26/2017 9:02:00 AM,6/26/2017 9:10:00 AM,ORB_Short,Profit target,$270.00,$7035.00,$0.00,$15.00,$270.00,$0.00,9,
520,NQ JUN25,Backtest,Orb,Long,1,8086.25,8078.25,6/27/2017 9:09:00 AM,6/27/2017 9:13:00 AM,ORB_Long,Stop loss,($160.00),$6875.00,$0.00,$160.00,$5.00,$165.00,5,
521,NQ JUN25,Backtest,Orb,Short,1,7996.50,8020.75,6/28/2017 8:57:00 AM,6/28/2017 9:33:00 AM,ORB_Short,Stop loss,($485.00),$6390.00,$0.00,$485.00,$190.00,$675.00,37,
522,NQ JUN25,Backtest,Orb,Short,1,8022.00,7974.75,6/29/2017 8:46:00 AM,6/29/2017 4:00:00 PM,ORB_Short,Exit on session close,$945.00,$7335.00,$0.00,$160.00,$1930.00,$985.00,420,
523,NQ JUN25,Backtest,Orb,Short,1,7966.50,7999.50,6/30/2017 9:17:00 AM,6/30/2017 1:47:00 PM,ORB_Short,Stop loss,($660.00),$6675.00,$0.00,$660.00,$55.00,$715.00,271,
524,NQ JUN25,Backtest,Orb,Short,1,7968.25,7913.50,7/3/2017 9:27:00 AM,7/3/2017 12:15:00 PM,ORB_Short,Exit on session close,$1095.00,$7770.00,$0.00,$225.00,$1250.00,$155.00,169,
525,NQ JUN25,Backtest,Orb,Long,1,7937.00,7930.25,7/4/2017 8:58:00 AM,7/4/2017 9:14:00 AM,ORB_Long,Stop loss,($135.00),$7635.00,$0.00,$135.00,$25.00,$160.00,17,
526,NQ JUN25,Backtest,Orb,Short,1,7923.75,7943.50,7/5/2017 9:21:00 AM,7/5/2017 9:35:00 AM,ORB_Short,Stop loss,($395.00),$7240.00,$0.00,$395.00,$55.00,$450.00,15,
527,NQ JUN25,Backtest,Orb,Short,1,7920.00,7936.50,7/6/2017 8:51:00 AM,7/6/2017 10:31:00 AM,ORB_Short,Stop loss,($330.00),$6910.00,$0.00,$330.00,$310.00,$640.00,101,
528,NQ JUN25,Backtest,Orb,Short,1,7979.00,7989.00,7/10/2017 8:56:00 AM,7/10/2017 9:04:00 AM,ORB_Short,Stop loss,($200.00),$6710.00,$0.00,$200.00,$90.00,$290.00,9,
529,NQ JUN25,Backtest,Orb,Long,1,8025.75,8007.75,7/11/2017 9:08:00 AM,7/11/2017 10:24:00 AM,ORB_Long,Stop loss,($360.00),$6350.00,$0.00,$360.00,$330.00,$690.00,77,
530,NQ JUN25,Backtest,Orb,Long,1,8130.25,8110.75,7/13/2017 9:01:00 AM,7/13/2017 9:29:00 AM,ORB_Long,Stop loss,($390.00),$5960.00,$0.00,$390.00,$55.00,$445.00,29,
531,NQ JUN25,Backtest,Orb,Short,1,8133.25,8149.00,7/14/2017 9:04:00 AM,7/14/2017 11:38:00 AM,ORB_Short,Stop loss,($315.00),$5645.00,$0.00,$315.00,$135.00,$450.00,155,
532,NQ JUN25,Backtest,Orb,Long,1,8177.75,8168.25,7/17/2017 8:47:00 AM,7/17/2017 9:37:00 AM,ORB_Long,Stop loss,($190.00),$5455.00,$0.00,$190.00,$210.00,$400.00,51,
533,NQ JUN25,Backtest,Orb,Long,1,8175.25,8159.75,7/18/2017 9:28:00 AM,7/18/2017 9:45:00 AM,ORB_Long,Stop loss,($310.00),$5145.00,$0.00,$310.00,$35.00,$345.00,18,
534,NQ JUN25,Backtest,Orb,Short,1,8246.25,8255.25,7/20/2017 9:13:00 AM,7/20/2017 4:00:00 PM,ORB_Short,Exit on session close,($180.00),$4965.00,$0.00,$220.00,$495.00,$675.00,393,
535,NQ JUN25,Backtest,Orb,Long,1,8249.25,8241.75,7/24/2017 9:15:00 AM,7/24/2017 10:14:00 AM,ORB_Long,Stop loss,($150.00),$4815.00,$0.00,$150.00,$20.00,$170.00,60,
536,NQ JUN25,Backtest,Orb,Long,1,8224.00,8237.50,7/28/2017 9:16:00 AM,7/28/2017 4:00:00 PM,ORB_Long,Exit on session close,$270.00,$5085.00,$0.00,$365.00,$375.00,$105.00,390,
537,NQ JUN25,Backtest,Orb,Short,1,8241.00,8212.00,7/31/2017 8:56:00 AM,7/31/2017 9:30:00 AM,ORB_Short,Profit target,$580.00,$5665.00,$0.00,$75.00,$580.00,$0.00,35,
538,NQ JUN25,Backtest,Orb,Short,1,8219.50,8229.50,8/1/2017 9:03:00 AM,8/1/2017 3:31:00 PM,ORB_Short,Stop loss,($200.00),$5465.00,$0.00,$200.00,$330.00,$530.00,374,
539,NQ JUN25,Backtest,Orb,Short,1,8235.75,8239.50,8/2/2017 8:46:00 AM,8/2/2017 4:00:00 PM,ORB_Short,Exit on session close,($75.00),$5390.00,$0.00,$235.00,$1100.00,$1175.00,420,
540,NQ JUN25,Backtest,Orb,Short,1,8218.75,8213.00,8/3/2017 8:56:00 AM,8/3/2017 4:00:00 PM,ORB_Short,Exit on session close,$115.00,$5505.00,$0.00,$280.00,$340.00,$225.00,409,
541,NQ JUN25,Backtest,Orb,Long,1,8233.00,8218.50,8/4/2017 8:48:00 AM,8/4/2017 8:59:00 AM,ORB_Long,Stop loss,($290.00),$5215.00,$0.00,$290.00,$70.00,$360.00,12,
542,NQ JUN25,Backtest,Orb,Long,1,8239.50,8261.50,8/7/2017 9:02:00 AM,8/7/2017 4:00:00 PM,ORB_Long,Exit on session close,$440.00,$5655.00,$0.00,$105.00,$455.00,$15.00,404,
543,NQ JUN25,Backtest,Orb,Long,1,8251.75,8269.50,8/8/2017 9:11:00 AM,8/8/2017 10:31:00 AM,ORB_Long,Profit target,$355.00,$6010.00,$0.00,$105.00,$355.00,$0.00,81,
544,NQ JUN25,Backtest,Orb,Long,1,8217.75,8248.50,8/9/2017 9:12:00 AM,8/9/2017 4:00:00 PM,ORB_Long,Exit on session close,$615.00,$6625.00,$0.00,$200.00,$625.00,$10.00,394,
545,NQ JUN25,Backtest,Orb,Short,1,8186.75,8122.00,8/10/2017 8:47:00 AM,8/10/2017 2:35:00 PM,ORB_Short,Profit target,$1295.00,$7920.00,$0.00,$240.00,$1295.00,$0.00,349,
546,NQ JUN25,Backtest,Orb,Long,1,8150.25,8161.75,8/11/2017 9:10:00 AM,8/11/2017 4:00:00 PM,ORB_Long,Exit on session close,$230.00,$8150.00,$0.00,$375.00,$400.00,$170.00,396,
547,NQ JUN25,Backtest,Orb,Long,1,8220.25,8238.00,8/14/2017 9:05:00 AM,8/14/2017 4:00:00 PM,ORB_Long,Exit on session close,$355.00,$8505.00,$0.00,$85.00,$420.00,$65.00,401,
548,NQ JUN25,Backtest,Orb,Short,1,8231.00,8238.25,8/15/2017 8:46:00 AM,8/15/2017 4:00:00 PM,ORB_Short,Exit on session close,($145.00),$8360.00,$0.00,$300.00,$220.00,$365.00,420,
549,NQ JUN25,Backtest,Orb,Long,1,8230.00,8218.50,8/17/2017 8:47:00 AM,8/17/2017 8:58:00 AM,ORB_Long,Stop loss,($230.00),$8130.00,$0.00,$230.00,$30.00,$260.00,12,
550,NQ JUN25,Backtest,Orb,Short,1,8106.50,8138.00,8/18/2017 8:55:00 AM,8/18/2017 10:26:00 AM,ORB_Short,Stop loss,($630.00),$7500.00,$0.00,$630.00,$190.00,$820.00,92,
551,NQ JUN25,Backtest,Orb,Short,1,8115.50,8082.50,8/21/2017 8:57:00 AM,8/21/2017 9:22:00 AM,ORB_Short,Profit target,$660.00,$8160.00,$0.00,$25.00,$660.00,$0.00,26,
552,NQ JUN25,Backtest,Orb,Long,1,8173.00,8204.75,8/22/2017 9:17:00 AM,8/22/2017 4:00:00 PM,ORB_Long,Exit on session close,$635.00,$8795.00,$0.00,$105.00,$675.00,$40.00,389,
553,NQ JUN25,Backtest,Orb,Long,1,8178.75,8170.00,8/23/2017 9:07:00 AM,8/23/2017 9:09:00 AM,ORB_Long,Stop loss,($175.00),$8620.00,$0.00,$175.00,$55.00,$230.00,3,
554,NQ JUN25,Backtest,Orb,Short,1,8176.75,8170.50,8/24/2017 8:46:00 AM,8/24/2017 4:00:00 PM,ORB_Short,Exit on session close,$125.00,$8745.00,$0.00,$25.00,$980.00,$855.00,420,
555,NQ JUN25,Backtest,Orb,Long,1,8192.75,8181.50,8/25/2017 9:02:00 AM,8/25/2017 9:18:00 AM,ORB_Long,Stop loss,($225.00),$8520.00,$0.00,$225.00,$115.00,$340.00,17,
556,NQ JUN25,Backtest,Orb,Short,1,8152.00,8168.00,8/28/2017 8:53:00 AM,8/28/2017 9:25:00 AM,ORB_Short,Stop loss,($320.00),$8200.00,$0.00,$320.00,$85.00,$405.00,33,
557,NQ JUN25,Backtest,Orb,Long,1,8144.00,8194.25,8/29/2017 8:48:00 AM,8/29/2017 4:00:00 PM,ORB_Long,Exit on session close,$1005.00,$9205.00,$0.00,$100.00,$1120.00,$115.00,418,
558,NQ JUN25,Backtest,Orb,Long,1,8219.25,8259.50,8/30/2017 9:19:00 AM,8/30/2017 4:00:00 PM,ORB_Long,Exit on session close,$805.00,$10010.00,$0.00,$135.00,$985.00,$180.00,387,
559,NQ JUN25,Backtest,Orb,Long,1,8292.00,8320.00,8/31/2017 9:17:00 AM,8/31/2017 4:00:00 PM,ORB_Long,Exit on session close,$560.00,$10570.00,$0.00,$95.00,$610.00,$50.00,389,
560,NQ JUN25,Backtest,Orb,Short,1,8319.00,8311.00,9/1/2017 8:55:00 AM,9/1/2017 4:00:00 PM,ORB_Short,Exit on session close,$160.00,$10730.00,$0.00,$85.00,$425.00,$265.00,410,
561,NQ JUN25,Backtest,Orb,Long,1,8293.75,8303.75,9/4/2017 9:04:00 AM,9/4/2017 12:00:00 PM,ORB_Long,Exit on session close,$200.00,$10930.00,$0.00,$20.00,$260.00,$60.00,177,
562,NQ JUN25,Backtest,Orb,Short,1,8273.25,8256.50,9/6/2017 9:02:00 AM,9/6/2017 9:18:00 AM,ORB_Short,Profit target,$335.00,$11265.00,$0.00,$115.00,$335.00,$0.00,17,
563,NQ JUN25,Backtest,Orb,Short,1,8283.25,8289.75,9/7/2017 8:48:00 AM,9/7/2017 9:36:00 AM,ORB_Short,Stop loss,($130.00),$11135.00,$0.00,$130.00,$295.00,$425.00,49,
564,NQ JUN25,Backtest,Orb,Short,1,8263.25,8243.25,9/8/2017 9:14:00 AM,9/8/2017 4:00:00 PM,ORB_Short,Exit on session close,$400.00,$11535.00,$0.00,$240.00,$615.00,$215.00,390,
565,NQ JUN25,Backtest,Orb,Short,1,8309.25,8325.00,9/12/2017 8:49:00 AM,9/12/2017 3:43:00 PM,ORB_Short,Stop loss,($315.00),$11220.00,$0.00,$315.00,$335.00,$650.00,400,
566,NQ JUN25,Backtest,Orb,Short,1,8295.00,8304.75,9/14/2017 8:47:00 AM,9/14/2017 8:58:00 AM,ORB_Short,Stop loss,($195.00),$11025.00,$0.00,$195.00,$10.00,$205.00,12,
567,NQ JUN25,Backtest,Orb,Long,1,8292.00,8326.75,9/15/2017 9:05:00 AM,9/15/2017 9:54:00 AM,ORB_Long,Profit target,$695.00,$11720.00,$0.00,$65.00,$695.00,$0.00,50,
568,NQ JUN25,Backtest,Orb,Long,1,8333.00,8315.00,9/18/2017 8:53:00 AM,9/18/2017 1:16:00 PM,ORB_Long,Stop loss,($360.00),$11360.00,$0.00,$360.00,$40.00,$400.00,264,
569,NQ JUN25,Backtest,Orb,Short,1,8300.00,8313.25,9/19/2017 8:47:00 AM,9/19/2017 11:02:00 AM,ORB_Short,Stop loss,($265.00),$11095.00,$0.00,$265.00,$110.00,$375.00,136,
570,NQ JUN25,Backtest,Orb,Short,1,8302.25,8275.75,9/20/2017 9:26:00 AM,9/20/2017 10:01:00 AM,ORB_Short,Profit target,$530.00,$11625.00,$0.00,$120.00,$530.00,$0.00,36,
571,NQ JUN25,Backtest,Orb,Short,1,8267.50,8260.75,9/21/2017 8:50:00 AM,9/21/2017 4:00:00 PM,ORB_Short,Exit on session close,$135.00,$11760.00,$0.00,$320.00,$620.00,$485.00,416,
572,NQ JUN25,Backtest,Orb,Long,1,8257.75,8234.75,9/22/2017 9:08:00 AM,9/22/2017 12:17:00 PM,ORB_Long,Stop loss,($460.00),$11300.00,$0.00,$460.00,$55.00,$515.00,190,
573,NQ JUN25,Backtest,Orb,Short,1,8238.50,8245.50,9/28/2017 9:19:00 AM,9/28/2017 9:25:00 AM,ORB_Short,Stop loss,($140.00),$11160.00,$0.00,$140.00,$40.00,$180.00,7,
574,NQ JUN25,Backtest,Orb,Long,1,8270.50,8264.50,9/29/2017 8:46:00 AM,9/29/2017 8:48:00 AM,ORB_Long,Stop loss,($120.00),$11040.00,$0.00,$120.00,$25.00,$145.00,3,
575,NQ JUN25,Backtest,Orb,Long,1,8311.25,8326.00,10/2/2017 8:50:00 AM,10/2/2017 9:19:00 AM,ORB_Long,Profit target,$295.00,$11335.00,$0.00,$65.00,$295.00,$0.00,30,
576,NQ JUN25,Backtest,Orb,Long,1,8313.50,8308.00,10/3/2017 8:47:00 AM,10/3/2017 9:13:00 AM,ORB_Long,Stop loss,($110.00),$11225.00,$0.00,$110.00,$170.00,$280.00,27,
577,NQ JUN25,Backtest,Orb,Short,1,8339.50,8343.00,10/5/2017 9:01:00 AM,10/5/2017 9:02:00 AM,ORB_Short,Stop loss,($70.00),$11155.00,$0.00,$70.00,$35.00,$105.00,2,
578,NQ JUN25,Backtest,Orb,Long,1,8371.00,8383.25,10/6/2017 9:17:00 AM,10/6/2017 4:00:00 PM,ORB_Long,Exit on session close,$245.00,$11400.00,$0.00,$240.00,$310.00,$65.00,389,
579,NQ JUN25,Backtest,Orb,Short,1,8392.00,8399.00,10/9/2017 8:50:00 AM,10/9/2017 9:10:00 AM,ORB_Short,Stop loss,($140.00),$11260.00,$0.00,$140.00,$110.00,$250.00,21,
580,NQ JUN25,Backtest,Orb,Short,1,8389.75,8360.25,10/10/2017 8:55:00 AM,10/10/2017 11:09:00 AM,ORB_Short,Profit target,$590.00,$11850.00,$0.00,$35.00,$590.00,$0.00,135,
581,NQ JUN25,Backtest,Orb,Long,1,8389.25,8400.50,10/11/2017 9:14:00 AM,10/11/2017 4:00:00 PM,ORB_Long,Exit on session close,$225.00,$12075.00,$0.00,$160.00,$280.00,$55.00,393,
582,NQ JUN25,Backtest,Orb,Long,1,8397.00,8389.50,10/12/2017 8:59:00 AM,10/12/2017 2:49:00 PM,ORB_Long,Stop loss,($150.00),$11925.00,$0.00,$150.00,$345.00,$495.00,351,
583,NQ JUN25,Backtest,Orb,Short,1,8411.25,8415.50,10/13/2017 9:13:00 AM,10/13/2017 9:19:00 AM,ORB_Short,Stop loss,($85.00),$11840.00,$0.00,$85.00,$10.00,$95.00,7,
584,NQ JUN25,Backtest,Orb,Short,1,8426.50,8431.25,10/16/2017 9:18:00 AM,10/16/2017 10:42:00 AM,ORB_Short,Stop loss,($95.00),$11745.00,$0.00,$95.00,$110.00,$205.00,85,
585,NQ JUN25,Backtest,Orb,Short,1,8426.75,8432.50,10/17/2017 9:26:00 AM,10/17/2017 9:55:00 AM,ORB_Short,Stop loss,($115.00),$11630.00,$0.00,$115.00,$90.00,$205.00,30,
586,NQ JUN25,Backtest,Orb,Short,1,8437.50,8436.50,10/18/2017 8:48:00 AM,10/18/2017 4:00:00 PM,ORB_Short,Exit on session close,$20.00,$11650.00,$0.00,$145.00,$245.00,$225.00,418,
587,NQ JUN25,Backtest,Orb,Short,1,8374.75,8402.75,10/19/2017 8:52:00 AM,10/19/2017 10:33:00 AM,ORB_Short,Stop loss,($560.00),$11090.00,$0.00,$560.00,$125.00,$685.00,102,
588,NQ JUN25,Backtest,Orb,Short,1,8429.75,8426.50,10/20/2017 9:30:00 AM,10/20/2017 4:00:00 PM,ORB_Short,Exit on session close,$65.00,$11155.00,$0.00,$170.00,$200.00,$135.00,376,
589,NQ JUN25,Backtest,Orb,Short,1,8425.25,8381.50,10/23/2017 8:56:00 AM,10/23/2017 2:38:00 PM,ORB_Short,Profit target,$875.00,$12030.00,$0.00,$20.00,$875.00,$0.00,343,
590,NQ JUN25,Backtest,Orb,Long,1,8401.50,8381.50,10/25/2017 8:46:00 AM,10/25/2017 8:56:00 AM,ORB_Long,Stop loss,($400.00),$11630.00,$0.00,$400.00,$5.00,$405.00,11,
591,NQ JUN25,Backtest,Orb,Short,1,8367.25,8374.75,10/26/2017 9:05:00 AM,10/26/2017 9:36:00 AM,ORB_Short,Stop loss,($150.00),$11480.00,$0.00,$150.00,$300.00,$450.00,32,
592,NQ JUN25,Backtest,Orb,Long,1,8473.25,8536.75,10/27/2017 8:55:00 AM,10/27/2017 1:05:00 PM,ORB_Long,Profit target,$1270.00,$12750.00,$0.00,$110.00,$1270.00,$0.00,251,
593,NQ JUN25,Backtest,Orb,Long,1,8544.25,8523.75,10/30/2017 8:47:00 AM,10/30/2017 11:19:00 AM,ORB_Long,Stop loss,($410.00),$12340.00,$0.00,$410.00,$490.00,$900.00,153,
594,NQ JUN25,Backtest,Orb,Short,1,8579.50,8552.50,11/1/2017 8:56:00 AM,11/1/2017 4:00:00 PM,ORB_Short,Exit on session close,$540.00,$12880.00,$0.00,$100.00,$775.00,$235.00,410,
595,NQ JUN25,Backtest,Orb,Short,1,8540.75,8561.25,11/2/2017 9:06:00 AM,11/2/2017 3:31:00 PM,ORB_Short,Stop loss,($410.00),$12470.00,$0.00,$410.00,$620.00,$1030.00,371,
596,NQ JUN25,Backtest,Orb,Short,1,8565.50,8583.75,11/3/2017 9:22:00 AM,11/3/2017 11:00:00 AM,ORB_Short,Stop loss,($365.00),$12105.00,$0.00,$365.00,$160.00,$525.00,99,
597,NQ JUN25,Backtest,Orb,Long,1,8629.25,8630.25,11/6/2017 9:26:00 AM,11/6/2017 4:00:00 PM,ORB_Long,Exit on session close,$20.00,$12125.00,$0.00,$360.00,$110.00,$90.00,380,
598,NQ JUN25,Backtest,Orb,Long,1,8642.00,8624.00,11/7/2017 8:52:00 AM,11/7/2017 9:34:00 AM,ORB_Long,Stop loss,($360.00),$11765.00,$0.00,$360.00,$35.00,$395.00,43,
599,NQ JUN25,Backtest,Orb,Short,1,8627.00,8633.75,11/8/2017 8:52:00 AM,11/8/2017 9:02:00 AM,ORB_Short,Stop loss,($135.00),$11630.00,$0.00,$135.00,$40.00,$175.00,11,
600,NQ JUN25,Backtest,Orb,Long,1,8622.00,8608.25,11/9/2017 9:12:00 AM,11/9/2017 9:41:00 AM,ORB_Long,Stop loss,($275.00),$11355.00,$0.00,$275.00,$170.00,$445.00,30,
601,NQ JUN25,Backtest,Orb,Long,1,8616.25,8629.50,11/13/2017 8:48:00 AM,11/13/2017 4:00:00 PM,ORB_Long,Exit on session close,$265.00,$11620.00,$0.00,$95.00,$520.00,$255.00,418,
602,NQ JUN25,Backtest,Orb,Short,1,8585.75,8615.75,11/14/2017 9:05:00 AM,11/14/2017 9:47:00 AM,ORB_Short,Stop loss,($600.00),$11020.00,$0.00,$600.00,$115.00,$715.00,43,
603,NQ JUN25,Backtest,Orb,Long,1,8632.75,8662.25,11/16/2017 9:07:00 AM,11/16/2017 4:00:00 PM,ORB_Long,Exit on session close,$590.00,$11610.00,$0.00,$10.00,$860.00,$270.00,399,
604,NQ JUN25,Backtest,Orb,Short,1,8650.00,8627.00,11/17/2017 9:03:00 AM,11/17/2017 4:00:00 PM,ORB_Short,Exit on session close,$460.00,$12070.00,$0.00,$190.00,$485.00,$25.00,403,
