20250313 050100;19682.75;19682.75;19682.75;19682.75;1
20250313 050200;19682.25;19690.75;19682.25;19690.75;2
20250313 050400;19693.5;19693.5;19693.5;19693.5;1
20250313 050700;19685.25;19685.25;19685.25;19685.25;2
20250313 050900;19680;19680;19680;19680;1
20250313 051100;19681.25;19683;19681.25;19682.75;4
20250313 051200;19686;19686;19686;19686;1
20250313 051400;19689;19689;19689;19689;1
20250313 051500;19689;19689;19686.25;19686.25;3
20250313 051600;19682;19682;19682;19682;1
20250313 051700;19668;19672.75;19668;19672.75;3
20250313 051900;19672;19672;19672;19672;1
20250313 052000;19680;19680;19680;19680;2
20250313 052100;19680.5;19680.5;19680.5;19680.5;1
20250313 052200;19690;19690;19690;19690;1
20250313 052300;19688.25;19688.25;19688.25;19688.25;1
20250313 052400;19696.5;19696.5;19696.5;19696.5;1
20250313 052500;19695;19708;19695;19708;5
20250313 052900;19708.5;19708.5;19708.5;19708.5;1
20250313 053000;19706;19706;19706;19706;1
20250313 053100;19706.5;19706.75;19699.5;19699.5;3
20250313 053200;19692;19692;19688;19688;2
20250313 053300;19675;19675.75;19661;19675.75;8
20250313 053400;19677.25;19677.25;19677.25;19677.25;1
20250313 053500;19675;19675;19657.5;19657.75;4
20250313 053600;19665.25;19666.5;19660;19660;3
20250313 053700;19651.75;19651.75;19651.75;19651.75;1
20250313 053800;19664.5;19664.5;19659;19659;2
20250313 053900;19660.5;19660.5;19655.75;19655.75;3
20250313 054000;19654;19654;19650;19650;3
20250313 054100;19659.25;19660.5;19659.25;19660.5;2
20250313 054300;19665;19665;19656.25;19657.75;3
20250313 054400;19664;19664;19656.5;19656.5;2
20250313 054500;19657.5;19662.5;19657.5;19659.75;8
20250313 054600;19661.5;19661.5;19656.75;19656.75;3
20250313 054700;19654.25;19654.25;19653;19653;22
20250313 054800;19655;19655;19655;19655;1
20250313 054900;19672.25;19672.75;19672.25;19672.75;2
20250313 055000;19672.25;19673.5;19672.25;19672.5;4
20250313 055400;19664.5;19664.5;19664.5;19664.5;1
20250313 055600;19668.5;19672;19668.25;19672;5
20250313 055800;19672;19672;19672;19672;1
20250313 055900;19675;19675;19675;19675;1
20250313 060000;19670;19670.75;19670;19670.75;2
20250313 060100;19677.25;19679.5;19677.25;19679.5;2
